name;salary;experience;company;region;monthly_hours
Python-разработчик;209000.0;6;Копылова Татьяна Алексеевна;Краснодар;176.0
Python-developer;175000.0;3;Тензор;Санкт-Петербург;176.0
Разработчик Python;200000.0;3;Гросссофт;Тамбов;176.0
Python backend (FastAPI) разработчик;;3;АМИКОН;Москва;176.0
Python-разработчик;100000.0;1;VERBA-group;Киров (Кировская область);176.0
Trainee Python Developer;;0;Team.Inno / Фабрика инноваций и решений;Гомель;176.0
LLM Engineer (Python, RAG);200000.0;3;CRT;Санкт-Петербург;176.0
Python Developer;;1;РТК-ЦОД;Москва;176.0
Python-разработчик (senior);;3;T2;Москва;176.0
QA Automation Python specialist;;3;Лыжин Алексей Вячеславович;Москва;176.0
Java, python developer;;1;Клауд Ком;Москва;176.0
Senior QA Engineer (Python) / Инженер по автоматизированному тестированию (TATLIN.UNIFIED);;6;YADRO;Нижний Новгород;176.0
Full-Stack QA/Тестировщик (Python);;1;Ред Софт;Санкт-Петербург;176.0
Backend / AI Product Engineer (Python);;3;KTS;Москва;176.0
Ведущий инженер/ Python engineer (Блок ИИ);;3;Азиатско-Тихоокеанский Банк;Москва;176.0
Python-разработчик (со срочным выходом в течении 3 дней!);;3;ИЦ АЙ-ТЕКО;Москва;176.0
Python / AI Developer (GenAI & Data Systems);;3;Аренадата Софтвер;Москва;176.0
Разработчик Python (Middle);130000.0;1;Единая Информационная Система ЖКХ;Санкт-Петербург;176.0
Программист Python;;3;НоуТек;Самара;176.0
Разработчик python (Fullstack);;3;Элемент;Москва;176.0
Senior Python-разработчик;;3;СБЕР;Москва;176.0
Middle fullstack (python/vue) developer/Fullstack-разработчик (python/vue);;3;Арнест ЮниРусь;Москва;176.0
Python-разработчик (Middle+);;3;Globerce Inc.;Алматы;176.0
Tech - Team Lead (Python, Django, JavaScript, React, React Native);;3;A SWISS GROUP;Москва;176.0
Senior Python Developer;;6;Новео;Сербия;176.0
Python-разработчик;;1;Freedom Holding Operations;Алматы;176.0
Senior Python Backend Developer | FastAPI | Health-tech;;6;Holiverse;Минск;176.0
Senior Python-разработчик;;3;СБЕР;Самара;176.0
Middle+ Python Developer;;3;АстраЗенека;Москва;176.0
Middle Python Developer;;1;ROGII;Сербия;176.0
Middle Python developer (Telegram-боты+ИИ);112500.0;3;Ai2Biz;Москва;88.0
FullStack QA (Manual + Automation, Python) (вне РФ);152000.0;3;Heaad;Москва;176.0
Data Engineer Python LLM;;1;Neoflex;Саратов;176.0
Старший инженер по автоматизации тестирования Python, Ozon Travel;;3;Ozon;Москва;176.0
Tech Lead Python / Backend Architect (AI/LLM, FastAPI);400000.0;6;Леусова Екатерина Сергеевна;Москва;176.0
Team Lead Full-stack / Frontend (Vue 3 / Go / Python);;3;Майнитек;Екатеринбург;176.0
QA Automation (Python);;6;РЕЛЭКС;Воронеж;176.0
SDET Python (KUMA);;3;Лаборатория Касперского;Москва;176.0
Python-разработчик;127500.0;1;Алабуга, ОЭЗ ППТ;Санкт-Петербург;176.0
Преподаватель Python и Roblox в онлайн-школу программирования;50000.0;0;IT школа Hello World;Астана;110.0
Middle Python разработчик;200000.0;1;amoCRM;Москва;176.0
Senior Full-stack developer (React, Node, Python);;3;ОнТаргет ЛАБС;Тбилиси;176.0
Team Lead команды разработки (Python);;3;Ростелеком Информационные Технологии;Москва;176.0
Full-stack разработчик (Python/React) в команду AI;140000.0;1;Этажи Федеральная компания;Тюмень;176.0
Python разработчик;;3;КРОК;Москва;176.0
Python backend разработчик;90000.0;1;Федеральная Академия вождения Вектор;Омск;176.0
Senior Python Developer Backend;250000.0;3;Лидсфлоу;Астана;176.0
Python-разработчик (PyQt/PySide);;3;СберМедИИ;Москва;176.0
Python Developer — Infrastructure;261000.0;3;AbeloHost B.V.;Москва;176.0
Python Backend-разработчик;;6;Standfin;Нижний Новгород;176.0
Python разработчик (Middle+ / Senior);;3;X5 Tech;Москва;176.0
Python-разработчик;;3;АЛЬФА-БАНК;Минск;176.0
Middle+ Python-разработчик;205000.0;3;Шатаев Андрей Васильевич;Москва;176.0
Backend‑разработчик Python/Django (middle/middle+);300000.0;3;ProOrder;Москва;176.0
Tech Lead / Руководитель команды разработки Python;400000.0;6;METASCAN;Москва;176.0
Senior Backend-разработчик / Tech Lead (Python/Django, Celery, Docker, CI/CD);950.0;3;Экгардт Евгений Александрович;Москва;
Python-разработчик (фитнес-клуб);80000.0;0;Поколение;Москва;176.0
Junior Python Developer;92500.0;0;Удовиченко Анастасия Александровна;Челябинск;176.0
Middle Python-разработчик;;1;amoCRM;Москва;176.0
Python разработчик/Fullstack-разработчик в сервис Аналитики маркетплейсов;85000.0;1;Григорьев Вячеслав Романович;Воронеж;176.0
Автоматизатор - ТG боты, TMA (Python/JS/C), интеграции LLM, AI/ML (ОФИС!!!);;1;Эксим Интернешнл;Москва;176.0
Руководитель направления/middle python-разработчик (Технологии рисков корпоративного бизнеса));;3;Банк ДОМ.РФ;Москва;176.0
Python-разработчик;;3;Экспобанк;Москва;176.0
Разработчик (сетевой) Python (middle+);135000.0;1;НИИ МАСШТАБ;Санкт-Петербург;176.0
AQA Python;;1;СОГАЗ;Москва;176.0
Junior+ Backend Developer (Python / Django);110000.0;1;MillionAgents;Москва;176.0
Fullstack разработчик (Python\TypeScript(react));;3;YADRO;Москва;176.0
Python-разработчик;;3;НТЦ ИТ РОСА;Москва;176.0
QA-инженер (Python);;1;СБЕР;Москва;176.0
Младший специалист отдела разработки (Python) / Специалист по парсингу данных;70000.0;1;MillionAgents;Владивосток;176.0
Python Lead команды рекламных модераций в AI VK;;3;VK;Санкт-Петербург;176.0
Python-разработчик;350000.0;6;Акцент;Москва;176.0
Senior Backend Developer (Python);;6;UZINFOCOM;Ташкент;176.0
Python-разработчик (Django);150000.0;1;Shtab;Санкт-Петербург;187.0
Python разработчик (неоплачиваемая практика);;0;Газпром ЦПС;Санкт-Петербург;
Python Developer (Web, «Мир кораблей»);;3;Леста Игры;Санкт-Петербург;176.0
Младший программист Python;116000.0;1;МАСТ;Ярославль;176.0
Backend-разработчик Python (Junior);112500.0;1;Алабуга, ОЭЗ ППТ;Самара;176.0
Старший Python-разработчик в офис;;3;Диджитал Сектор Поддержка;Краснодар;176.0
Python инженер (+BI);;1;IT_One;Москва;176.0
Python developer;200000.0;3;Тензор;Тюмень;176.0
Python-разработчик;;3;ТЕХНОЛОГИИ ОТРАСЛЕВОЙ ТРАНСФОРМАЦИИ;Москва;176.0
Инженер по автоматизации тестирования LTE Base Station (Python);;3;YADRO;Санкт-Петербург;176.0
Automation QA Engineer (Python);;1;Леста Игры;Минск;176.0
Fullstack разработчик (Python / FastAPI);;3;СИСТЭМ ЭЛЕКТРИК;Новосибирск;176.0
Senior Python разработчик в команду MLOps платформы;;6;HeadHunter;Москва;176.0
Инженер по автоматизации тестирования, Python, API, Ozon Bank;;6;Ozon;Казань;176.0
Python-разработчик;180000.0;3;Lexica;Пермь;176.0
Lead AQA (Python);;3;Ipotekabank OTP Group;Ташкент;176.0
Middle+/Senior Backend Engineer (Golang/Python);;3;Choco (ТОО Chocofamily);Алматы;176.0
Python backend developer;150000.0;1;Маркетинговое агентство PRO M8;Москва;176.0
Trainee/Intern/Junior Python backend developer;30000.0;0;Рекруто;Санкт-Петербург;176.0
AI-разработчик (Python / Go / Frontend);;1;Social Media Holding;Москва;176.0
Senior Full-stack developer (React, Node, Python);;3;ОнТаргет ЛАБС;Алматы;176.0
Python Developer (AI team);;3;TravelLine;Йошкар-Ола;176.0
Senior Python-разработчик;275000.0;6;Live Typing;Москва;
Middle Backend разработчик (Python);120000.0;3;SOMNIUM;Астана;176.0
Python разработчик в LiveLib / Middle;;3;Литрес;Москва;176.0
Python-разработчик;100000.0;1;Самохин Арсений Дмитриевич;Санкт-Петербург;176.0
Senior Python Developer;;6;1С;Москва;176.0
Python Backend-разработчик (PostgreSQL, RabbitMQ, FastAPI);225000.0;1;ИК РИКОМ-ТРАСТ;Москва;176.0
Python-разработчик CTO;;1;Робита;Москва;176.0
Python Developer — Finance Analytics;261000.0;3;AbeloHost B.V.;Москва;176.0
Педагог-контрактник по курсам Python;;3;Центр Автоматизации Бизнеса Форвард;Самара;
Разработчик программного обеспечения (Python);;1;Конструкторское бюро Луггар;Новосибирск;176.0
Python-разработчик автоматизации тестирования;150000.0;3;УРАЛЭНЕРГОСЕРВИС;Екатеринбург;176.0
Разработчик Python (Middle);;1;Нанософт;Санкт-Петербург;176.0
Senior AQA Python Automation Engineer;;3;АйрисДев;Минск;176.0
Senior AQA/ Автотестировщик (Python/TypeScript);;3;Бфг;Москва;176.0
Python Automation QA Engineer (Web + Mobile);;3;Amarcon;Краснодар;176.0
Архитектор / Tech Lead (Python/Django);;0;Нефедов Роман Анатольевич;Москва;
AI-разработчик (Python / Go / PHP / Frontend);;1;СП Солюшен;Москва;176.0
Python-разработчик (Junior);80000.0;1;VOXYS;Орел;176.0
Backend-разработчик (Python);;3;Ipotekabank OTP Group;Ташкент;176.0
Python-разработчик;;3;Ситуационно-Информационный Центр Министерства Транспорта Российской Федерации;Москва;176.0
Python Developer / Backend (Middle+);180000.0;1;VICTORY group;Екатеринбург;
Python Разработчик;80000.0;1;Этажи Федеральная компания;Тюмень;176.0
Fullstack-разработчик (Python, JavaScript) middle, middle+;;3;Изи Вей;Воронеж;176.0
Младший (junior) программист Python;57900.0;0;Интеллектуальные системы;Воронеж;176.0
Python-разработчик;100000.0;1;Институт Радиоэлектронных Систем;Екатеринбург;176.0
Python разработчик middle;120000.0;1;AppEvent;Ростов-на-Дону;176.0
Python Developer (AI);;3;ATI.SU;Санкт-Петербург;176.0
Python developer (Инструменты управления рисками);;3;СБЕР;Москва;176.0
Ведущий backend-программист (python/Java);;3;ЦРТ | Группа компаний;Санкт-Петербург;176.0
Senior Python Developer (AI Backend);;3;Бридж Тревел;Москва;
