name;area;employer;salary;experience;monthly_hours
Администратор магазина (Родионова, 11);Химки (Московская область);МАГНИТ, Розничная сеть;91990.0;0;180.0
Аналитик 1С:ERP;Казань;Информационные Бизнес Решения;140000.0;3;168.0
Руководитель отдела технических специалистов 1С;Пенза;1C-Рарус;90000.0;1;168.0
Программист 1С;Москва;БЭЛ Девелопмент;285000.0;3;168.0
Бухгалтер - Оператор 1С;Бишкек;ОсОО Торговая компания Саншайн;;1;147.0
Администратор 1С (программист);Минск;Дана Холдингз;;3;168.0
Оператор ПК / Оператор 1С;Нижний Новгород;МЕТАЛЛСЕРВИС;60000.0;1;172.5
Программист 1С;Новосибирск;КЭПС;;3;168.0
Администратор (Новоясеневский пр-т, д. 11, ТРЦ FORT Ясенево);Москва;Подружка, сеть магазинов;54850.0;0;168.0
Специалист по работе с абонентами;Салехард;УСГГ;77500.0;0;147.0
Водитель вездехода (категорий А 1, А 2, С, Е, D);Тюмень;Зуммер;115000.0;3;168.0
Программист 1С УПП;Санкт-Петербург;ВИС;120000.0;1;168.0
Начальник отдела приемки товаров (Игуменский тракт, 11);Минск;ОМА;;1;168.0
Пекарь (Солнечногорск, Юрлово, 1С);Солнечногорск (Московская область);Пятёрочка;80000.0;0;
Системный аналитик 1C;Подольск (Московская область);STROTSKIS GROUP;;1;168.0
1С Программист;Сочи;ABS GROUP;200000.0;1;168.0
Менеджер по недвижимости (Красный Проспект, 157/1);Новосибирск;Агентство Недвижимости Жилфонд;200000.0;0;168.0
Специалист по сопровождению 1С:Зарплата и управление персоналом;Череповец;ПРОФИ;100000.0;0;168.0
Продавец-консультант, отдел крепеж (Быковского 11);Красноярск;Сеть магазинов ВАШ ДОМ;55000.0;0;200.0
Администратор магазина (Ленина, 110А);Муром;МАГНИТ, Розничная сеть;67600.0;0;180.0
Продавец-кассир (ул. Лисина, 11);Саратов;FIX PRICE;47200.0;0;180.0
Водитель категории С с КМУ;Красноярск;Иркутская нефтяная компания;;1;
Администратор магазина (Белозерское шоссе, 16);Вологда;МАГНИТ, Розничная сеть;60650.0;0;180.0
Оператор 1C;Каскелен;ИНОСТРАННОЕ ПРЕДПРИЯТИЕ КОМПАНИЯ МАОЛИН;52500.0;1;200.0
Менеджер по работе с арендодателями;Санкт-Петербург;585, Холдинг;;1;168.0
Консультант 1С (техподдержка 1С:ЗУП);Москва;МЭК Энергоэффективные технологии;;3;168.0
Менеджер по работе с сетями;Казань;НИЛСЭ;100000.0;3;168.0
Водитель В,С;Анапа;Рябченко Виталий Леонидович;60000.0;1;200.0
