name;area;employer;salary;experience;monthly_hours
Manual / Automation QA Engineer (Python);Минск;Валун Софт;;1;176.0
Преподаватель программирования в онлайн-школу (Python, Unity, HTML);Воронеж;EasyCode;75000.0;0;143.0
Младший (junior) программист Python;Воронеж;Интеллектуальные системы;57900.0;0;176.0
Руководитель отдела информационной безопасности;Москва;Консоль.Про;500000.0;6;176.0
Тестировщик;Москва;Транснефтьэнерго;185000.0;3;176.0
Senior Flutter Developer;Санкт-Петербург;Наследие Диджитл;200000.0;3;176.0
Lead C++ Software Engineer (Gameplay);Сербия;Playrix;;6;176.0
Data Analyst;Кипр;TRIBE (LTD STARTRIBE);;3;176.0
Администратор баз данных;Москва;ГК Дамате;;6;176.0
Разработчик Python в LLM Platform;Санкт-Петербург;Т-Банк;;3;176.0
Инженер-программист инфраструктуры автопилота (Python);Москва;Эвокарго;;3;176.0
Fullstack Analyst в R&D;Москва;Продамус;;6;176.0
Тьютор (IT-наставник/преподаватель) Кибершколы;Красноярск;Шабанкин Дмитрий Николаевич;35000.0;0;132.0
Аналитик данных;Москва;Флюид-Лайн;;1;176.0
Стажёр - инженер по тестированию Python, Склад;Москва;Ozon;;0;176.0
Python-разработчик (финтех);Москва;СЕТТЕ;200000.0;3;176.0
Lead Data Engineer;Москва;Цифровой аудит;;3;176.0
Стажер Fullstack разработчик [Финансовые данные и аналитика, МТС Веб Сервисы];Псков;МТС;;0;176.0
Инженер по качеству (диагностика оборудования);Нижнекамск;Питон Кама;97701.5;0;176.0
Automation QA Engineer (Python) AI Agent платформа (MWS AI);Москва;МТС;;3;176.0
Python-разработчик (middle)/Data Science Engineer (AI Agents & Integrations);Минск;Finstar Financial Group;;3;176.0
Специалист по автоматизированному тестированию ПО (Auto QA);Москва;БЕРГ Холдинг;160550.5;1;176.0
DevOps-инженер;Екатеринбург;Т1;;3;176.0
Lead Python-разработчик;Москва;СБЕР;;6;176.0
Python-разработчик;Москва;Т-Банк;;3;176.0
Специалист технической поддержки;Санкт-Петербург;Клевер Солюшнс;;1;176.0
Senior Python Backend Developer | FastAPI | Health-tech;Минск;Holiverse;;6;176.0
Продуктовый аналитик;Москва;МТТ (MTC Exolve);;1;176.0
Senior backend Go/python;Астана;QData;337500.0;3;176.0
Senior C++ developer (Backend Services);Армения;Gaijin Games;;6;176.0
Инженер информационной безопасности (отдел разработки продуктов);Москва;Security Vision;;1;176.0
Senior Python разработчик (Команда Моделирования и исследования данных);Москва;СБЕР;;6;176.0
Senior Python-разработчик;Москва;KTS;;6;176.0
Разработчик ИИ-агента;Тула;СБЕР;;0;176.0
Инженер отдела реализации проектов;Улан-Удэ;SIMPLE;60000.0;1;176.0
Middle+/Senior Python разработчик;Москва;СОГАЗ;;3;176.0
Backend-разработчик (Senior, Lead Python);Москва;Brandquad;;3;176.0
Преподаватель образовательных курсов для детей (Python);Казань;Алгоритмика;60000.0;1;
Преподаватель Python и Roblox в онлайн-школу программирования;Астана;IT школа Hello World;50000.0;0;110.0
DA с SQL и python (pyspark);Самара;СБЕР;;1;176.0
Системный администратор с функцией тестирования;Ташкент;TASHSOFTCOM;;3;176.0
Методист образовательных программ (робототехника);Санкт-Петербург;Геоскан;;1;176.0
MLOps/Дата-инженер;Москва;IBS;;3;176.0
Аналитик-разработчик (финансовая отчётность BI/Python/VBA);Москва;Центральный банк Российской Федерации (Банк России);;1;176.0
Специалист по информационной безопасности (SIEM);Москва;SPTLab;;3;176.0
