name;area;employer;salary;experience;monthly_hours
Менеджер по логистике;Одинцово (Московская область);Эвентус-К;115000.0;1;216.0
Специалист - координатор сервиса/начинающий логист;Волгоград;Дельта системы безопасности;42000.0;0;174.0
Менеджер по логистике;Москва;ТК Альянс Авто;150000.0;1;168.0
Помощник логиста;Смоленск;Альфа Транс Экспедиция;45000.0;0;168.0
Логист;Тула;Тула-Экспресс;5000.0;1;180.0
Менеджер отдела логистики;Москва;ДЕЛЬТА;100000.0;1;168.0
Менеджер по логистике;Иваново (Ивановская область);Стоик-спецодежда;;1;168.0
Логист;Муром;Меленки лес;85000.0;1;168.0
Специалист отдела логистики;Москва;Группа Компаний ЛОГОТИМ;126000.0;1;168.0
Логист;Владивосток;Фид Лайнс;115000.0;1;168.0
Менеджер по логистике;Краснодар;Агро-Новация;120000.0;1;168.0
Менеджер по логистике;Ухта;ТК Элемент Логистик;100000.0;0;126.0
Менеджер по логистике;Бишкек;Колесников Павел Иванович;47500.0;1;184.0
Логист;Хабаровск;HRHALL;120000.0;1;168.0
Менеджер по логистике;Краснодар;К-Трейд;140000.0;1;168.0
Региональный менеджер по логистике Ozon fresh;Нижний Новгород;Ozon;;1;168.0
Логист;Кемерово;Техснаб;100000.0;3;168.0
Менеджер по логистике;Ростов-на-Дону;Тайгер-Логистик;85000.0;1;168.0
Логист по доставке и сервису;Алматы;MATRAS.KZ;75000.0;1;168.0
Логист в международную логистическую компанию;Санкт-Петербург;ИРАЙД.РУ;80000.0;0;168.0
Товарный логист (закупки);Москва;Строительный Двор;65000.0;0;168.0
Менеджер по логистике (привлеченный транспорт);Москва;Сияние ТК;150000.0;1;168.0
Диспетчер-логист;Волгоград;Вертас;;1;
Логист;Гусев;Долгов Агро;62000.0;0;168.0
Старший логист;Астрахань;Транспортная компания NOSOROG;75000.0;1;189.0
Менеджер по логистике;Воронеж;Автолайн 136;165000.0;1;168.0
Логист;Иваново (Ивановская область);Камышева Ирина Владимировна;55000.0;6;168.0
Диспетчер-логист;Москва;Oу Йа Рус;100000.0;1;168.0
Логист;Москва;Пойда Софья Александровна;60000.0;1;168.0
