name;area;employer;salary;experience;monthly_hours
Педагог-психолог (консультант Детского телефона доверия);Тверь;ГБУ Областной Центр Семья;32500.0;0;168.0
Вожатый в детский лагерь;Москва;Школа Мужества;100000.0;1;
Менеджер по продажам;Обнинск;Газпромбанк;;0;168.0
Ветеринарный врач-терапевт;Москва;Ветеринарная клиника Спутник;135000.0;1;180.0
Логопед-Психолог;Киров (Кировская область);ЧДОУ ДС Росток;30000.0;0;168.0
Оператор на чат МТС Банка;Касимов;МТС;60000.0;0;180.0
Методист;Иркутск;ГАУ ДО ИО Центр Развития Дополнительного Образования Детей;47500.0;1;159.0
Психолог-дефектолог;Астана;Саугабаева;;1;136.5
Управляющий пиццерией;Москва;Додо Пицца (Корпоративная розничная сеть);135000.0;1;168.0
Педагог-психолог;Павлодар;Никитина Кристина;27000.0;1;168.0
Медицинский психолог;Москва;ГАУЗ МО «Клинская городская больница»;70000.0;0;
Аниматор;Смоленск;ОРТОС;;0;168.0
Инструктор по лечебной физкультуре;Самара;Куйбышевский нефтеперерабатывающий завод;27831.0;0;137.5
Ведущий кассир (улица Коминтерна);Нижний Новгород;Лента, федеральная розничная сеть;70000.0;0;
Эксперт проектов кадрового консалтинга;Москва;Правительство Москвы;;1;168.0
Медицинский психолог (Педагогический отдел);Челябинск;ГБУЗ Челябинская областная детская клиническая больница;;3;120.0
Ведущий специалист финансового мониторинга;Москва;ВТБ Лизинг;;1;168.0
Педагог-психолог;Нижний Новгород;АНОО Школа 800;55000.0;1;168.0
Медицинский психолог;Пятигорск;ФГБУ СКФНКЦ ФМБА РОССИИ;73100.0;0;168.0
Администратор склада (Волжская);Сочи;Ozon;80500.0;1;165.0
Автор студенческих работ (по психологии);Астана;Студворк;110000.0;1;168.0
Педагог-психолог;Красноярск;МБОУ Средняя школа № 63;35904.0;1;
Психолог/Клинический психолог;Санкт-Петербург;Медицинская клиника Кадуцей;;6;126.0
Ведущий клиентский менеджер;Пенза;Россельхозбанк;60000.0;1;168.0
Продавец-консультант бездымных систем ( ТЦ Ривьера);Липецк;Алиди Продвижение;60000.0;0;180.0
Повар мясного производства (проспект Будённого);Санкт-Петербург;Лента, федеральная розничная сеть;64000.0;0;
Педагог-психолог;Санкт-Петербург;ГБОУ школа № 43 Приморского района СПб;;1;168.0
Инспектор центра обеспечения мобильности пассажиров;Москва;Московский метрополитен;77000.0;0;180.0
Психолог отделения кадров и работы с личным составом;Казань;ФКУ ОО КПБСТИН УФСИН России по Республике Татарстан;23500.0;1;168.0
Психолог-профориентолог;Владикавказ;АНО ДО Учебный центр Стартап;;3;
Помощник логопеда/психолога;Павлодар;Центр психологии Семья и Детство;23250.0;1;168.0
Head of VIP Sales;Санкт-Петербург;Karuna;;3;168.0
Психолог;Курган;СБЕР;;3;
"Администратор торгового зала (""Галеон"" ТЦ)";Москва;Лента, федеральная розничная сеть;116200.0;0;120.0
Няня/помощница/помощник;Ярославль;Грицюк Михаил Артурович;80000.0;0;180.0
Нейропсихолог;Красногорск (Московская область);Красивая речь;90000.0;1;105.0
Няня-педагог-Гувернантка (Гувернер) для мальчика 8 лет;Москва;Давыдова Елена Вячеславовна;80000.0;3;147.0
Супервайзер (алкоголь);Актау;Asian Spirits Distribution;;1;168.0
Педагог-психолог;Уфа;ГБПОУ Уфимский торгово-экономический колледж;32500.0;1;168.0
Пекарь-универсал (пр-т Михаила Нагибина);Ростов-на-Дону;Лента, федеральная розничная сеть;63000.0;0;
Нейропсихолог/клинический психолог/специалист по сенсорной интеграции;Краснодар;Алалия Стоп;105000.0;3;168.0
Врач по паллиативной медицинской помощи;Улан-Удэ;ГАУЗ Республиканская Клиническая Больница Скорой Медицинской Помощи Имени В.В. Ангапова;75000.0;1;
Инженер связи (в офис);Владимир;Ростелеком;48000.0;0;168.0
Инженер технической поддержки (1 линия);Санкт-Петербург;Digital Design;50000.0;0;168.0
Специалист по безопасности (площадь Свободы);Наро-Фоминск (Московская область);Лента, федеральная розничная сеть;84000.0;1;120.0
Тьютор/педагог-психолог;Москва;МБОУ СОШ № 19 г. Химки;70000.0;0;
Медицинский психолог (в стационаре);Москва;ФГАУ Лечебно-Реабилитационный Центр Министерства Здравоохранения Российской Федерации;117000.0;1;168.0
Педагог-психолог;Москва;ГБОУ ШКОЛА № 354 ИМ. Д.М. КАРБЫШЕВА;90000.0;1;147.0
Руководитель в загородный детский сад;Колтуши;Эрудит;120000.0;1;189.0
Доцент на кафедру педагогики и медицинской психологии (Брянский филиал);Брянск;ФГАОУ ВО Первый МГМУ им. И.М.Сеченова Минздрава России (Сеченовский Университет);;3;
Ночной старший смены Ozon fresh (м.Аминьевская);Москва;Ozon;108000.0;0;165.0
Руководитель торгового сектора;Орел;Лемана ПРО;;1;168.0
Пекарь;Санкт-Петербург;РУССМАРКЕТ;74000.0;1;120.0
