name;area;employer;salary;experience;monthly_hours
Электрогазосварщик;Москва;МОСГАЗ;133128.0;3;264.0
Слесарь-электрогазосварщик (ЗАО);Москва;ПИК-специализированный застройщик;150000.0;1;176.0
Сварщик-Ремонтник;Казань;Современный Дом;5000.0;0;152.0
Электросварщик ручной сварки;Москва;ЮНИС, Группа компаний;110000.0;3;176.0
Электрогазосварщик;Иркутск;УТТ Восток;110000.0;1;242.0
Электросварщик (ученик);Волгодонск;ТРЕСТ РОССПЕЦЭНЕРГОМОНТАЖ;135400.0;0;286.0
Сварщик;Красноярск;КЖБЗ;100000.0;1;176.0
Сварщик на полуавтомат;Челябинск;Благовещенский завод МЖБК;;1;
Сварщик ручной сварки;Краснодар;ЛЕНГАЗСПЕЦСТРОЙ;225000.0;1;242.0
Сварщик;Челябинск;Снежинский ЗСЭМ;75000.0;1;176.0
Сварщик;Уральск;ЭНЕРГОМАШСТРОЙ;;3;176.0
Электрогазосварщик;Усть-Илимск;СетьСтройПроект;220000.0;3;208.0
Электрогазосварщик;Болхов;Черкизово, Группа предприятий;76000.0;0;176.0
Электросварщик ручной сварки на полуавтомат;Борисов;Медведев и К;;1;176.0
Электрогазосварщик;Санкт-Петербург;СММ;200000.0;1;208.0
Электрогазосварщик;Санкт-Петербург;Оптпрофи;211000.0;1;286.0
Электросварщик ручной сварки (технологические трубопроводы, Амурская обл);Омск;Газстройпром;260000.0;1;
Бригада сварщиков;Краснодар;Металлоцех;145000.0;0;312.0
Сварщик;Караганда;TPA SARY ARKA;45000.0;1;176.0
Сантехник-сварщик;Екатеринбург;Мастеровой Екб;205000.0;1;151.58333333333331
Электросварщик ручной сварки / электрогазосварщик (ОП ЯНАО Харасавей,Тамбей);Ставрополь;Газстройпром;167000.0;1;242.0
Электрогазосварщик 5 разряда в буровую бригаду;Абакан;Байкитская нефтегазоразведочная экспедиция;170000.0;1;242.0
Бригада сварщиков-монтажников ТТ;Иркутск;АТЭК-СТРОЙ;250000.0;3;242.0
Сварщик;Красноярск;ЭйчарОсы;145000.0;1;264.0
Электрогазосварщик 5 разряд НАКС ГДО;Калтан;СУЭК, Сибирская Угольная Энергетическая Компания;267600.0;1;242.0
Сварщик;Миасс;Яковлева Надежда Александровна;57500.0;1;176.0
Электрогазосварщик;Мыски;Группа Компаний Мечел;;1;165.0
Электрогазосварщик;Липецк;РВК-Липецк;53000.0;1;185.0
Электросварщик;Уссурийск;Каскад;225000.0;3;286.0
Электросварщик (ученик);Тамбов;ТРЕСТ РОССПЕЦЭНЕРГОМОНТАЖ;135400.0;0;286.0
Электрогазосварщик 5-6 разряда;Минск;Минский молочный завод №1;;1;176.0
Электросварщик ручной сварки;Дружный (Минская область);Электроцентрмонтаж;;3;176.0
Сварщик ручной аргонодуговой сварки (РАД);Тольятти;Группа компаний «100 тонн»;196196.0;1;260.0
