name;area;employer;salary;experience;monthly_hours
Юрист;Москва;ГК КРЭББИТ;100000.0;1;168.0
Главный юрисконсульт;Владимир;ЭЛКОД, группа компаний;;3;168.0
Ведущий юрисконсульт (отдел сопровождения земельного банка);Саратов;Ресурс, ГАП;70600.0;1;168.0
Юрист по договорной работе;Москва;Aviasales.ru;;3;189.0
Юрист (офис);Орел;Блин Да Гриф;80000.0;1;168.0
Юрист первичного приема;Москва;Юридический центр Москва;400000.0;3;168.0
Младший юрист;Новосибирск;Юридический Союз Начало;59634.0;0;
Юрист;Москва;efin;100000.0;1;168.0
Ведущий специалист/Юрист по коммерческим услугам;Химки (Московская область);Группа «Интер РАО»;117724.5;1;168.0
Юрист;Самара;Самара-Скан;50000.0;1;168.0
Ассистент юриста;Москва;Возрождение;110000.0;0;189.0
Юрисконсульт;Астана;ПАНОРАМАGROUP;33750.0;1;168.0
Старший юрист (договорная и судебная работа);Москва;ЭКЦ АНСТЕЛ;92500.0;1;168.0
Главный специалист-эксперт (ЮРИСТ);Улан-Удэ;Республиканское агентство лесного хозяйства;52500.0;1;168.0
Юрисконсульт;Санкт-Петербург;Красное & Белое, розничная сеть;100000.0;1;168.0
Юрисконсульт;Москва;Равновесие Капитал;130000.0;3;168.0
Юрист по бфл;Москва;Лексэм;112500.0;3;168.0
Юрист по договорной работе;Москва;IBMM;;1;168.0
Юрисконсульт;Москва;Новое Качество Дорог;120000.0;1;168.0
Главный юрисконсульт отдел правового обеспечения расчетов корпоративных клиентов;Нижний Новгород;Банк ВТБ (ПАО);;1;168.0
Юрист;Пушкино (Московская область);NOVAROLL;140000.0;3;168.0
Юрист;Благовещенск (Амурская область);РОСТБИЗНЕССТРОЙ;95000.0;3;168.0
Юрисконсульт;Подольск (Московская область);Карева Юлия Валерьевна;70000.0;3;168.0
Ведущий юрисконсульт;Мурманск;Первый Мурманский;85000.0;1;168.0
Ведущий юрист;Казань;Ак Барс Банк;64500.0;1;168.0
Юрисконсульт;Красноярск;Сеть магазинов цифровой и бытовой техники DNS;74900.0;1;168.0
Юрисконсульт;Люберцы  (Московская область);Люберецкий Водоканал;61500.0;1;168.0
Юрисконсульт;Екатеринбург;ГАПОУ СО Уральский колледж строительства, архитектуры и предпринимательства;;3;168.0
Юрист /Помощник юрисконсульта;Москва;Правовой Центр;162500.0;0;168.0
Ведущий юрисконсульт по корпоративному праву;Москва;Cosmos Hotel Group;;3;168.0
Юрист;Пермь;Микрофинансовая Компания Предпринимательского Финансирования Пермского Края;;1;168.0
Юрист;Пермь;Академия Бизнес Решений;;6;
Юрисконсульт;Самара;Силк Вэй;80000.0;3;168.0
Юрист (строительная компания);Москва;Титан Л;;1;168.0
Юрист по договорной работе;Смоленск;Компания Миро;100000.0;6;168.0
Юрист;Новосибирск;НИИАП;80000.0;3;168.0
Старший юрист/судебный представитель;Москва;Адвокатское Бюро г. Москвы Вдовин, Пейсахов и Партнеры;110000.0;3;168.0
Юрист;Алматы;KTK SERVICE;;3;168.0
Юрист в договорной блок;Москва;Хохланд Руссланд;;1;
Главный юрисконсульт;Москва;Роскачество;130000.0;3;168.0
Помощник юриста;Омск;КредитамНет;30000.0;0;168.0
Юрисконсульт;Екатеринбург;Лаки Моторс;;1;168.0
Юрист;Шымкент;Актобе-Этажи;37500.0;1;168.0
Юрист по досудебному урегулированию споров в сфере строительства;Санкт-Петербург;Правовое бюро Советник;150000.0;6;168.0
Юрист / Регистратор (Регистрация юридических лиц);Москва;Эксперт;140000.0;3;168.0
Юрист (недвижимость);Москва;Сейнтс;140000.0;1;189.0
Корпоративный юрист;Санкт-Петербург;Центральный научно-исследовательский институт материалов имени Д.И. Менделеева;90000.0;1;168.0
Корпоративный юрист;Актобе;Киязбаева;;3;
Юрисконсульт;Минск;Бурштат;;1;168.0
Юрисконсульт;Йошкар-Ола;Ваш Юрист;60000.0;3;168.0
Юрист, отдел дебиторской задолженности;Владимир;Группа «Интер РАО»;64023.0;0;168.0
Юрист;Астана;KUMKOL MINING;;6;168.0
Юрист в отдел взыскания;Саратов;Банкирро;60000.0;1;168.0
Юрист (банкротство);Москва;Авангард Права;;3;168.0
Юрист;Москва;Евроазиатский Финансовый Дом;140000.0;3;168.0
Стажёр ИИ-Юрист в международную компанию по аренде автомобилей GetRentacar.com;Москва;Кей Групп;165000.0;0;105.0
Юрист в лизинговую компанию;Москва;TRUCK RADAR;150000.0;1;168.0
Юрист;Саратов;Юридический центр;50000.0;1;168.0
Юрист;Алматы;Сеть магазинов GAISSINA;48750.0;3;105.0
Юрист;Екатеринбург;ИНКОР;75000.0;3;168.0
Ведущий юрисконсульт;Краснодар;ГБНОУ КК Школа Поколение;82000.0;3;168.0
Ведущий юрист;Кемерово;Юрэксперт;80000.0;3;168.0
Юрист по трудовому праву;Москва;ГБУ Ритуал;70000.0;1;168.0
Юрисконсульт;Москва;Строительные технологии;150000.0;6;168.0
Юрист;Барнаул;Единый Центр;55000.0;1;168.0
Помощник юриста (Банкротство);Москва;СОТБИ;62500.0;0;168.0
Помощник юриста;Севастополь;Лион;60000.0;0;84.0
Главный юрисконсульт (отдел правового обеспечения расчетов корпоративных клиентов);Санкт-Петербург;Банк ВТБ (ПАО);;1;168.0
Юрист - судебник;Челябинск;Правовой Центр;60000.0;0;168.0
Юрист;Оренбург;Козорезова Алиса Андреевна;;3;168.0
Юрисконсульт;Адлер;Фонд Талант и успех;85000.0;1;168.0
Младший юрист;Химки (Московская область);Юридическая компания Вендер-М;;0;168.0
Юрисконсульт;Оренбург;Строительная Производственная Компания;67500.0;1;168.0
Юрист;Саратов;Юридическая компания Марии Гнедюк;52500.0;1;168.0
Юрист-правовед в сфере градостроительства и авиационного регулирования;Москва;Центр экологической безопасности гражданской авиации;;1;168.0
Юрисконсульт;Москва;Эколайф;;1;168.0
Юрист;Красногорск (Московская область);Дерлауф;225000.0;3;168.0
Юрист;Москва;Меркурий Сити;;1;168.0
Юрист;Балашиха (Московская область);Сервистранс;90000.0;1;168.0
Юрист первичного приема;Москва;Джастис Бридж Групп;225000.0;1;194.5
Юрисконсульт / Специалист по кадрам;Минск;Игро Тэк;;1;168.0
Юрист (Претензионист);Санкт-Петербург;Рус-ОйлЭкс;90000.0;1;168.0
Юрист по сопровождению клиентов (банкротство физических лиц);Саратов;Федеральный Центр Защиты;88000.0;6;168.0
Ведущий юрисконсульт;Краснодар;Краснодаргоргаз;70000.0;1;168.0
Юрист;Москва;Страховая группа МАКС;75000.0;1;168.0
Юрист;Санкт-Петербург;АНО Санкт-Петербургский экспертно-правовой центр;180000.0;6;168.0
Юрист;Дзержинск (Нижегородская область);Биохимпласт;75000.0;1;168.0
Юрисконсульт I категории;Ростов-на-Дону;ТНС энерго Ростов-на-Дону;57000.0;1;168.0
Юрист;Бишкек;MBANK;;1;168.0
Младший юрист;Санкт-Петербург;Адвокатское бюро №1 Де-Юре;85000.0;0;168.0
Юрисконсульт;Минск;hoster.by;;3;168.0
Юрист;Актобе;Актобе-Этажи;45000.0;3;168.0
Юрисконсульт;Балаково;Золотой Век;46000.0;1;168.0
Юрист;Санкт-Петербург;ИГМА Карго;90000.0;3;168.0
Юрист;Екатеринбург;Среднеуральское поисковое бюро;;3;168.0
Юрист;Новосибирск;Новые башни;;3;168.0
Юрист;Тамбов;Этажи Центр;60000.0;1;168.0
Юрисконсульт;Москва;Чанъань Моторс Рус;;6;168.0
Ведущий юрисконсульт;Москва;Интелион Дата;150000.0;6;168.0
Юрист;Москва;ПФ Стрит;140000.0;3;168.0
Юрист;Санкт-Петербург;ДорХан Северо-Запад;120000.0;1;168.0
Корпоративный юрисконсульт;Ташкент;O`ZINJINIRING RESPUBLIKA LOYIHA INSTITUTI;;3;168.0
Юрисконсульт;Минск;Белорусский межбанковский расчетный центр;;3;168.0
Старший юрист;Улан-Удэ;МРООП Общество защиты прав потребителей в сфере финансовых услуг;;1;168.0
Юрист;Воронеж;Юридический Центр ЗаконЪ;35000.0;0;168.0
Юрист-редактор (трудовое право);Минск;ЮрСпектр;;1;168.0
Юрист;Ташкент;Artel Electronics;9450.0;3;207.0
Юрист (банкротство физических лиц);Краснодар;Кулешина и партнёры;70000.0;1;168.0
Юрист по корпоративному праву;Астана;International Education Council;150000.0;6;
Юрист в Отдел судебной работы по взысканию суброгации и регресса;Москва;Страховая группа МАКС;130000.0;1;168.0
Юрисконсульт;Москва;Вестинтертранс;100000.0;1;168.0
Юрист;Чехов (Московская область);Гренар;;3;84.0
Юрисконсульт;Иркутск;ФКУ БМТиВС ГУФСИН России по Иркутской области;37000.0;3;147.0
Помощник Юриста/Помощник Адвоката (Премиум Сегмент);Санкт-Петербург;ТЫ ПРАВ;225000.0;1;144.0
Юрист;Красноярск;ГК ЯрКран;85000.0;3;168.0
