name;salary;experience;company;region;responses
Программист-электронщик;100000.0;1;INTERRA;Ростов-на-Дону;49
Стажер-разработчик бэкенда;;0;Яндекс;Москва;0
Преподаватель по программированию (по выходным);45000.0;0;KIBERone (ИП Петросян Карен Валерьевич);Ставрополь;17
QA Automation Java;;1;Ростелеком;Москва;0
Java Developer (Team Lead);;6;Водород;Минск;12
Java Teamlead;;6;СПб ГКУ Санкт-Петербургский информационно-аналитический центр;Санкт-Петербург;0
Java-разработчик;110000.0;1;Цифровые технологии;Казань;0
Java-разработчик;;3;КБ Уральский банк реконструкции и развития (УБРиР);Москва;580
Java-разработчик;;3;Т-Банк;Москва;0
Senior java разработчик;350000.0;3;Смарт консалтинг;Новосибирск;0
Senior Java developer;350000.0;6;Смарт консалтинг;Новосибирск;0
Тестировщик-автоматизатор Java;205000.0;3;Amex Development;Москва;399
Java Developer (senior);250000.0;6;Квартплата 24;Тольятти;12
Java Developer (middle);150000.0;3;Квартплата 24;Тольятти;12
Java, python developer;;1;Клауд Ком;Москва;469
Java Developer Middle++;;3;СИСТЕМНЫЕ ТЕХНОЛОГИИ;Минск;447
Тестировщик JAVA Middle;150000.0;1;ЭТМ, компания;Санкт-Петербург;16
Middle Java разработчик;;3;СПб ГКУ Санкт-Петербургский информационно-аналитический центр;Санкт-Петербург;0
Java Developer (Middle/Senior);;3;Центральный банк Российской Федерации (Банк России);Омск;15
QA Fullstack (Java);;3;ГК Орбита;Москва;12
Тестировщик-автоматизатор (Java);;3;Цифровой аудит;Москва;13
Tech Lead Java (СберБраузер);;3;СБЕР;Москва;13
Java / Kotlin (Middle) разработчик;200000.0;3;Seeneco;Москва;77
Senior Java разработчик;;6;СБЕР;Москва;0
Java-разработчик в Программу лояльности;;3;Национальная система платежных карт;Москва;20
QA Fullstack (UI/Java);;3;Приорбанк;Минск;244
QA Engineer Java/Инженер-тестировщик Java (ученик);;0;Aston;Санкт-Петербург;12
Middle Backend Developer (Java);;3;Сбербанк-Сервис;Москва;17
Java Spring Middle разработчик;;1;Шоро;Бишкек;244
Разработчик Senior Java / Kotlin Developer;;3;1001 LABS;Москва;757
Full stack QA Engineer (Java);;3;КейДев;Минск;12
Java разработчик в Платежные технологии;;3;Т-Банк;Москва;869
Middle+ Java Engineer Keycloak (Medtech);345000.0;3;evrone.ru;Москва;394
Java Разработчик;120000.0;1;ОКЕНИТ;Санкт-Петербург;12
Java Software Engineer (Internal Product);;3;Syberry CIS;Минск;94
Инженер по автоматизированному тестированию (Fullstack QA Java);;3;Раппорто;Москва;0
Java-разработчик;;1;АО «Freedom Bank Kazakhstan»;Алматы;12
QA Automation Engineer Java (junior);;1;Ростелеком;Москва;13
Java-разработчик;257500.0;3;Selecty;Москва;19
Java-разработчик;;3;ТелеСистемы Сервис;Москва;1265
Java-разработчик;;3;ТелеСистемы Сервис;Санкт-Петербург;975
Java-разработчик;;3;ТелеСистемы Сервис;Воронеж;862
Java-разработчик;;6;СОГАЗ;Москва;0
Java Developer;;3;Синьор Софт;Рязань;19
Senior Java-разработчик;;3;СБЕР;Москва;12
Middle/Senior QA Auto Engineer Java;;3;65apps;Ижевск;13
QA Java инженер (Цифровой корпоративный Банк);;1;СБЕР;Новосибирск;12
Middle Backend Developer Java (ведущий инженер-программист);;3;Национальный центр электронных услуг,РУП;Минск;272
Инженер по автоматизированному тестированию на Java (ученик/стажер);60000.0;0;Bell Integrator;Москва;0
Java-разработчик;;1;Т-Банк;Омск;12
Java-разработчик;;3;UZINFOCOM;Ташкент;13
Backend-разработчик (Java);;3;Ростелеком;Москва;0
Старший инженер-разработчик Java/C# с переходом на Go (Telecom);;6;YADRO;Санкт-Петербург;0
Java-разработчик;;1;Интабия;Новосибирск;444
Android-разработчик (Java);;3;Системная Интеграция;Москва;294
Senior Java Developer;;6;Jana Post;Алматы;207
Java разработчик/Java Developer (стажер);67000.0;0;Aston;Москва;481
Senior Java разработчик;;6;«UZUM TECHNOLOGIES»;Москва;14
System Architect (Java);;6;iFuture;Санкт-Петербург;222
Разработчик Java Backend-приложений платёжного контура GUI (в банк);365000.0;3;Сателл ИТ;Москва;199
Java-разработчик (Интеграции);;6;T2;Ростов-на-Дону;221
Java QA Инженер;11025.0;1;«NATIONAL INNOVATIVE PAYMENT TECHNOLOGIES» (ATMOS);Ташкент;191
Middle Java Developer;;1;Уайт Бёрд;Минск;256
Java разработчик (ученик);67000.0;0;Aston;Екатеринбург;77
Java-разработчик (Middle/Senior);;1;ЛАНИТ;Москва;393
Automation Engineer Java;;1;Перфоманс Лаб;Москва;0
Junior Java-разработчик;;1;Gridnine;Москва;894
Java Developer (Сеть продаж);;3;СБЕР;Москва;12
Backend-разработчик Java (Senior);;6;Eqvanta;Москва;476
Senior Java Developer;;3;Клауд Ком;Москва;300
Senior Java developer (JVM);342000.0;3;Hi, Rockits!;Москва;18
Tech Lead Java (Аналитика и сервис);;3;М.Видео-Эльдорадо;Москва;540
Team lead группы разработки (Java);;6;Colvir Software Solutions;Москва;300
QA Fullstack на Java;;3;ГК Орбита;Москва;14
Разработчик интеграционных сервисов ИТ-систем платёжного контура GUI (Java, Kafka) в банк;365000.0;3;Сателл ИТ;Москва;214
JAVA-разработчик;240000.0;3;ЛАНИТ;Москва;938
Senior Java Developer (Trading);;6;Уайт Бёрд;Минск;85
Middle+/Senior Java Developer;;3;«NATIONAL INNOVATIVE PAYMENT TECHNOLOGIES» (ATMOS);Ташкент;311
Младший Java-разработчик;;1;Интабия;Новосибирск;556
Java-разработчик;;6;Клауд Солюшенс;Москва;21
Разработчик Java (Java spring boot, JavaSE, Hibernate), Middle/Senior;;3;Networks Energy;Астана;346
Java разработчик (Swing / JavaFX);;3;Axiom JDK;Санкт-Петербург;461
