                                                                                                name     salary  experience                                                                                                                           company                                region  responses
                                                                               Техлид python backend   350000.0           6                                                                                                         Чубатюк Никита Васильевич                                Москва         94
                                                                                Python преподаватель    75000.0           1                                                                                                                   Ansar itcompany                               Грозный         56
                                                         Linux-администратор / Ведущий администратор   165000.0           3                                                                                                Система управления мероприятием №1                       Санкт-Петербург          0
                                                               Middle/Strong Middle Python Developer 20000000.0           3                                                                                                                            DEEPEN                               Ташкент         13
                                                 Senior Python разработчик в команду MLOps платформы        NaN           6                                                                                                                        HeadHunter                                Москва          0
                                                                          Python Developer (Middle+)        NaN           3                                                                                                                           Водород                                 Минск         12
                                                            Manual / Automation QA Engineer (Python)        NaN           1                                                                                                                        Валун Софт                                 Минск         12
                                                                   Аналитик клиентской эффективности        NaN           1                                                                                                                        HeadHunter                                Москва          0
                                                                  AI/LLM Engineer в GenAI Evaluation        NaN           3                                                                                                                        HeadHunter                                Москва          0
                                                                                  Python-разработчик   305000.0           3                                                                                                                         AYA Group                                Москва         16
                                                                                  Python-разработчик   100000.0           1                                                                                                                           Fortech                        Ростов-на-Дону         17
                                                                                  Python-разработчик   100000.0           1                                                                                                        Самохин Арсений Дмитриевич                       Санкт-Петербург        681
                                                                                  Python разработчик        NaN           3                                                                                                                Будущее технологий                                 Минск        898
                                                                                  Python-разработчик   265000.0           3                                                                                                           Мебельная фабрика Мечта                                Москва         15
                                                                                    Python Developer        NaN           3                                                                                                                           Домклик                                Москва        357
                                                                                  Python разработчик        NaN           3                                                                                                                        ИЦ АЙ-ТЕКО                                Москва         12
                                                                            Trainee Python Developer        NaN           0                                                                                           Team.Inno / Фабрика инноваций и решений                               Витебск          0
                                                                            Trainee Python Developer        NaN           0                                                                                           Team.Inno / Фабрика инноваций и решений                               Могилев          0
                                                                            Trainee Python Developer        NaN           0                                                                                           Team.Inno / Фабрика инноваций и решений                                Гомель          0
                                                                                  Python-разработчик        NaN           3                                                                                                                       EPG Service                                Москва         15
                                                                                  Python разработчик    79500.0           1                                                                                                                 Кортис Технологии                             Краснодар        240
                                                                                  Python-разработчик   100000.0           1                                                                                                                       VERBA-group             Киров (Кировская область)         16
                                                                                  Python-разработчик        NaN           3                                                                                                                            Т-Банк                                Москва         13
                                                                                  SDET Python (KESL)        NaN           3                                                                                                           Лаборатория Касперского                                Москва          0
                                                                                  Qa Python Selenium    10000.0           1                                                                                                           Хантфлоу интеграция УЗ2        Заполярный (Ямало-Ненецкий АО)          0
                                                                          Middle+ Python-разработчик   205000.0           3                                                                                                          Шатаев Андрей Васильевич                                Москва        825
                                                                           Senior Python-разработчик        NaN           6                                                                                                               СЕРВИСНЫЙ ЦЕНТР ERG                                Астана          0
                                                                             Middle Python developer        NaN           3                                                                                                                      ПроКомплаенс                                Москва       2149
                                                                          Python Developer (Middle+)   215000.0           3                                                                                                                   Фабрика Решений                                Москва         19
                                                                        Python (AI GenUS) specialist        NaN           1                                                                                                                              СБЕР                                Москва         12
                                                                       Senior Data Engineer (Python)   365000.0           3                                                                                                                      ArtVolkov.ru                                Москва         12
                                                                         Python-разработчик (Senior)        NaN           6                                                                                                                      АЛМИ Партнер                                Москва         15
                                                                                  Team Lead (Python)        NaN           3                                                                                                         «Aviata» (Freedom Travel)                                Алматы         12
                                                                             Senior Python Developer   400000.0           3                                                                                                                     Деньги Вперед                                Москва        374
                                                                             Senior Python Developer  1500000.0           3                                                                                                                            ФИНОНА                                Астана        143
                                                                  Тестировщик-автоматизатор (Python)    80000.0           0                                                                                                                            Тензор                             Ярославль          0
                                                                                   SDET python (NMS)        NaN           3                                                                                                                          ТехАргос                                Москва          0
                                                                     Middle Python Backend Developer   500000.0           1                                                                                                                    K-Line Network                                Астана        187
                                                                              Full Stack QA (Python)        NaN           3                                                                                                                          А ДЕНЬГИ                                Москва         15
                                                                   Backend-разработчик/Middle Python     4500.0           3                                                                                                                Про Хелс Маркетинг                                 Минск        525
                                                       Python-разработчик автоматизации тестирования   150000.0           3                                                                                                                  УРАЛЭНЕРГОСЕРВИС                          Екатеринбург         20
                                                              Python разработчик (Software Engineer)   400000.0           3                                                                                                                      Консалт Плюс                                Москва        280
                                                                            Senior backend Go/python  2250000.0           3                                                                                                                             QData                                Астана        210
                                                                Python Developer — Finance Analytics     2900.0           3                                                                                                                    AbeloHost B.V.                                Москва       1070
                                                         Python Backend Developer (Middle / Middle+)   700000.0           3                                                                                                               TIDAAR AI SOLUTIONS                                Астана         12
                                                                         Python-разработчик (Middle)   150000.0           3                                                                                                                      Бумхиминвест                                 Пермь          0
                                                                    Разработчик Python (Django, DRF)        NaN           3                                                                                                                          Ред Софт                       Санкт-Петербург         54
                                                                        Python-разработчик в Food.ru        NaN           3                                                                                                                                Х5                                Москва         21
                                                                     Automation QA Engineer (Python)        NaN           1                                                                                                                        Леста Игры                                 Минск          5
                                                                                  Разработчик Python   120000.0           3                                                                                                                         ТендерПро                          Екатеринбург        485
                                                                             Middle Python Developer    95000.0           1                                                                                                          Центр цифрового развития                            Красноярск         12
                                                         Python Developer / Backend (Junior+/Middle)   120000.0           1                                                                                                                     VICTORY group                          Екатеринбург         12
                                                     Разработчик (Бэкенд developer / Python) Middle+   170000.0           1                                                                                                                            МСТРОЙ                                Тюмень          1
                                                                  Системный аналитик/Бизнес-аналитик   150000.0           1                                                                                                                   АПТЕКИ ВАША № 1                                Москва          0
                                                                    Ведущий инженер-разработчик БПЛА   325000.0           1                                                                                                                           Парадиз                                Москва         15
                                                            SQL-программист / Разработчик баз данных   150000.0           3                                                                                                                   АПТЕКИ ВАША № 1                                Москва          0
                                                     Разработчик (Бэкенд developer / Python) Middle+   170000.0           1                                                                                                                            МСТРОЙ                                Тюмень          1
